label,prototype_category
lvef_lte_45_flag,1
lvwt_gte_13_flag,1
aortic_stenosis_moderate_or_greater_flag,1
aortic_regurgitation_moderate_or_greater_flag,1
mitral_regurgitation_moderate_or_greater_flag,1
tricuspid_regurgitation_moderate_or_greater_flag,1
pulmonary_regurgitation_moderate_or_greater_flag,1
rv_systolic_dysfunction_moderate_or_greater_flag,1
pericardial_effusion_moderate_large_flag,1
pasp_gte_45_flag,1
tr_max_gte_32_flag,1
shd_moderate_or_greater_flag,1
lvef_lte_45_flag,3
lvwt_gte_13_flag,3
aortic_stenosis_moderate_or_greater_flag,3
aortic_regurgitation_moderate_or_greater_flag,3
mitral_regurgitation_moderate_or_greater_flag,3
tricuspid_regurgitation_moderate_or_greater_flag,3
pulmonary_regurgitation_moderate_or_greater_flag,3
rv_systolic_dysfunction_moderate_or_greater_flag,3
pericardial_effusion_moderate_large_flag,3
pasp_gte_45_flag,3
tr_max_gte_32_flag,3
shd_moderate_or_greater_flag,3
lvef_lte_45_flag,4
lvwt_gte_13_flag,4
aortic_stenosis_moderate_or_greater_flag,4
aortic_regurgitation_moderate_or_greater_flag,4
mitral_regurgitation_moderate_or_greater_flag,4
tricuspid_regurgitation_moderate_or_greater_flag,4
pulmonary_regurgitation_moderate_or_greater_flag,4
rv_systolic_dysfunction_moderate_or_greater_flag,4
pericardial_effusion_moderate_large_flag,4
pasp_gte_45_flag,4
tr_max_gte_32_flag,4
shd_moderate_or_greater_flag,4
